"Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA"
3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,2294,0.304998382400518,0.554513102555807,0.373949277965371,0.24951472015529,0.259045075590782
1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,149,783,0.254292112465788,0.346852450858422,0.291764155357978,0.0925603383926349,0.132351732264907
1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,5,62,808,0.269221199303309,0.368001990544912,0.339618406285073,0.0987807912416024,0.171725056129322
1424,5557,844,1588,249,48,9,394,154,50,453,223,0,28,136,0,14,1282,0.285765700917761,0.352708295843081,0.34266313348791,0.0669425949253194,0.142362305399139
1959,6606,823,1832,295,35,336,1122,20,25,594,1059,55,17,52,35,223,1166,0.277323645171057,0.485165001513775,0.336872586872587,0.207841356342719,0.225811560372377
1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,672,0.255368098159509,0.412321063394683,0.319544503834534,0.156952965235174,0.195252186111761
568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,27,170,0.235507246376812,0.393115942028986,0.304065040650407,0.157608695652174,0.192665024630542
1078,3048,299,707,108,54,22,317,86,16,263,315,0,12,99,0,0,523,0.231955380577428,0.324475065616798,0.29551609990972,0.0925196850393701,0.152672404453807
930,2147,277,565,104,9,41,271,19,18,314,381,29,5,14,18,43,411,0.263157894736842,0.377270610153703,0.355877616747182,0.114112715416861,0.191293604887984
594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,216,0.230527143981117,0.324154209284028,0.282163742690059,0.0936270653029111,0.141955767817781
1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,1086,0.284493964716806,0.424883936861653,0.356919532664144,0.140389972144847,0.200884360033031
1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,45,74,742,0.259632334424578,0.36942835557794,0.345968448729185,0.109796021153362,0.187906939854594
1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,17,60,581,0.239424206815511,0.357226792009401,0.314030007896815,0.11780258519389,0.171347157726181
1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,1098,0.291850915982312,0.533638660770689,0.378067169294037,0.241787744788377,0.265827777001537
1281,4418,623,1325,255,45,47,501,84,4,223,310,0,14,110,0,38,978,0.299909461294703,0.409913988229968,0.335553168635875,0.110004526935265,0.160342943071966
1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,760,0.254392666157372,0.354469060351413,0.310102899906455,0.100076394194041,0.146132178452776
1541,5032,811,1281,216,53,256,796,84,50,795,1033,30,34,25,35,115,756,0.254570747217806,0.471184419713831,0.3578697421981,0.216613672496025,0.25870623934538
318,1407,236,381,43,10,2,140,5,2,22,40,0,0,0,0,0,326,0.270788912579957,0.319829424307036,0.282015395381386,0.0490405117270789,0.0833756473058083
1236,3330,390,846,138,25,36,296,128,60,250,636,24,6,44,29,53,647,0.254054054054054,0.342942942942943,0.304840940525588,0.0888888888888889,0.141787691450849
