"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_Average","Batting_1B","Slugging","OPS","ISO","wOBA"
"aaronha01",1,415,312,406,"Y",1934,2,5,"USA","AL","Mobile",NA,NA,NA,"","","","Hank","Aaron","Henry Louis",180,72,"R","R","1954-04-13",1976-10-03,"aaroh101","aaronha01",23,3,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328,3020,2977,78413,7436,429,144,218,0,0,0,0,0,0,0,1,9,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"rf",0,0,0,0,0,0,0,1,0.304998382400518,2294,0.554513102555807,0.373949277965371,0.24951472015529,0.259045075590782
"adairje01",0,0,0,0,"N",1936,12,17,"USA","OK","Sand Springs",1987,5,31,"USA","OK","Tulsa","Jerry","Adair","Kenneth Jerry",175,72,"R","R","1958-09-02",1970-05-03,"adaij101","adairje01",13,4,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,149,1167,1053,28316,2380,2878,103,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2b",0,0,1,0,0,0,0,0,0.254292112465788,783,0.346852450858422,0.291764155357978,0.0925603383926349,0.132351732264907
"adamsbo03",1,302,227,1,"N",1921,12,14,"USA","CA","Tuolumne",1997,2,13,"USA","WA","Gig Harbor","Bobby","Adams","Robert Henry",160,70,"R","R","1946-04-16",1959-04-22,"adamb103","adamsbo03",14,4,1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,5,62,1066,234,6022,1748,2262,158,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3b",0,0,0,1,0,0,0,0,0.269221199303309,808,0.368001990544912,0.339618406285073,0.0987807912416024,0.171725056129322
"adamssp01",2,269,202,1,"N",1894,8,26,"USA","PA","Zerbe",1989,2,24,"USA","PA","Pottsville","Sparky","Adams","Earl John",151,65,"R","R","1922-09-18",1934-09-30,"adams101","adamssp01",13,4,1424,5557,844,1588,249,48,9,394,154,50,453,223,0,28,136,0,14,1384,0,0,2287,3748,230,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2b",0,0,1,0,0,0,0,0,0.285765700917761,1282,0.352708295843081,0.34266313348791,0.0669425949253194,0.142362305399139
"adcocjo01",0,0,0,0,"N",1927,10,30,"USA","LA","Coushatta",1999,5,3,"USA","LA","Coushatta","Joe","Adcock","Joseph Wilbur",210,76,"R","R","1950-04-23",1966-10-01,"adcoj101","adcocjo01",17,5,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,55,17,52,35,223,1811,1299,32684,13678,900,102,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1b",0,1,0,0,0,0,0,0,0.277323645171057,1166,0.485165001513775,0.336872586872587,0.207841356342719,0.225811560372377
"ageeto01",1,432,324,0,"N",1942,8,9,"USA","AL","Magnolia",2001,1,22,"USA","NY","New York","Tommie","Agee","Tommie Lee",195,71,"R","R","1962-09-14",1973-09-30,"ageet101","ageeto01",12,5,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,1073,962,26465,2371,53,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"cf",0,0,0,0,0,0,1,0,0.255368098159509,672,0.412321063394683,0.319544503834534,0.156952965235174,0.195252186111761
"aguaylu01",0,0,0,0,"N",1959,3,13,"P.R.","","Vega Baja",NA,NA,NA,"","","","Luis","Aguayo","Luis",173,69,"R","R","1980-04-19",1989-09-30,"agual001","aguaylu01",10,3,568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,27,503,268,8183,483,867,54,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,0.235507246376812,170,0.393115942028986,0.304065040650407,0.157608695652174,0.192665024630542
"ainsmed01",0,0,0,0,"N",1890,2,4,"Russia","","",1981,9,6,"USA","FL","Fort Lauderdale","Eddie","Ainsmith","Edward Wilbur",180,71,"R","R","1910-08-09",1924-07-21,"ainse101","ainsmed01",15,5,1078,3048,299,707,108,54,22,317,86,16,263,315,0,12,99,0,0,996,0,0,4410,1088,193,96,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.231955380577428,523,0.324475065616798,0.29551609990972,0.0925196850393701,0.152672404453807
"aldremi01",0,0,0,0,"N",1961,1,29,"USA","CA","Carmel",NA,NA,NA,"","","","Mike","Aldrete","Michael Peter",180,71,"L","L","1986-05-28",1996-09-29,"aldrm001","aldremi01",10,7,930,2147,277,565,104,9,41,271,19,18,314,381,29,5,14,18,43,696,502,13601,2388,159,19,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1b",0,1,0,0,0,0,0,0,0.263157894736842,411,0.377270610153703,0.355877616747182,0.114112715416861,0.191293604887984
"alexama02",0,0,0,0,"N",1971,3,20,"D.R.","San Pedro de Macoris","San Pedro de Macoris",NA,NA,NA,"","","","Manny","Alexander","Manuel de Jesus",150,70,"R","R","1992-09-18",2006-09-28,"alexm001","alexama02",11,6,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,534,303,8880,499,858,53,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,0.230527143981117,216,0.324154209284028,0.282163742690059,0.0936270653029111,0.141955767817781
