"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA","R.perAB","H.perAB","singles.perAB","doubles.perAB","triples.perAB","HR.perAB","RBI.perAB","SB.perAB","CS.perAB","BB.perAB","SO.perAB","IBB.perAB","HBP.perAB","SH.perAB","SF.perAB","GIDP.perAB","TotalAllStarAwards","HR.outlier","debutYear"
"ageeto01",1,432,324,0,"N",1942,8,9,"USA","AL","Magnolia",2001,1,22,"USA","NY","New York","Tommie","Agee","Tommie Lee",195,71,"R","R","1962-09-14","1973-09-30","ageet101","ageeto01",12,5,1129,3912,558,999,170,27,130,433,167,81,342,918,26,34,21,15,99,1073,962,26465,2371,53,61,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"cf",0,0,0,0,0,0,1,0,672,0.255368098159509,0.412321063394683,0.319544503834534,0.156952965235174,0.195252186111761,0.142638036809816,0.255368098159509,0.171779141104294,0.0434560327198364,0.00690184049079755,0.0332310838445808,0.110685071574642,0.0426891615541922,0.0207055214723926,0.0874233128834356,0.234662576687117,0.00664621676891616,0.00869120654396728,0.0053680981595092,0.00383435582822086,0.0253067484662577,0,FALSE,1962
"aguaylu01",0,0,0,0,"N",1959,3,13,"P.R.","","Vega Baja",NA,NA,NA,"","","","Luis","Aguayo","Luis",173,69,"R","R","1980-04-19","1989-09-30","agual001","aguaylu01",10,3,568,1104,142,260,43,10,37,109,7,5,94,220,12,20,14,12,27,503,268,8183,483,867,54,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,170,0.235507246376812,0.393115942028986,0.304065040650407,0.157608695652174,0.192665024630542,0.128623188405797,0.235507246376812,0.153985507246377,0.0389492753623188,0.00905797101449275,0.0335144927536232,0.098731884057971,0.00634057971014493,0.00452898550724638,0.0851449275362319,0.199275362318841,0.0108695652173913,0.0181159420289855,0.0126811594202899,0.0108695652173913,0.0244565217391304,0,FALSE,1980
"aldremi01",0,0,0,0,"N",1961,1,29,"USA","CA","Carmel",NA,NA,NA,"","","","Mike","Aldrete","Michael Peter",180,71,"L","L","1986-05-28","1996-09-29","aldrm001","aldremi01",10,7,930,2147,277,565,104,9,41,271,19,18,314,381,29,5,14,18,43,696,502,13601,2388,159,19,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1b",0,1,0,0,0,0,0,0,411,0.263157894736842,0.377270610153703,0.355877616747182,0.114112715416861,0.191293604887984,0.129017233348859,0.263157894736842,0.191429902189101,0.0484396832789939,0.00419189566837448,0.0190964136003726,0.126222636236609,0.00884955752212389,0.00838379133674895,0.146250582207732,0.177456916627853,0.0135072193758733,0.00232883092687471,0.00652072659524919,0.00838379133674895,0.0200279459711225,0,FALSE,1986
"alexama02",0,0,0,0,"N",1971,3,20,"D.R.","San Pedro de Macoris","San Pedro de Macoris",NA,NA,NA,"","","","Manny","Alexander","Manuel de Jesus",150,70,"R","R","1992-09-18","2006-09-28","alexm001","alexama02",11,6,594,1271,166,293,50,12,15,115,37,10,86,276,7,7,19,4,17,534,303,8880,499,858,53,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,216,0.230527143981117,0.324154209284028,0.282163742690059,0.0936270653029111,0.141955767817781,0.130605822187254,0.230527143981117,0.169944925255704,0.03933910306845,0.00944138473642801,0.011801730920535,0.0904799370574351,0.029110936270653,0.00786782061369001,0.0676632572777341,0.217151848937844,0.00550747442958301,0.00550747442958301,0.014948859166011,0.003147128245476,0.013375295043273,0,FALSE,1992
"alfoned01",0,0,0,0,"N",1973,11,8,"Venezuela","Miranda","Santa Teresa del Tuy",NA,NA,NA,"","","","Edgardo","Alfonzo","Edgardo Antonio",210,71,"R","R","1995-04-26","2006-06-11","alfoe001","alfoned01",12,4,1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,1474,1367,36251,1644,3022,106,447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"3b",0,0,0,1,0,0,0,0,1086,0.284493964716806,0.424883936861653,0.356919532664144,0.140389972144847,0.200884360033031,0.144289693593315,0.284493964716806,0.201671309192201,0.0523676880222841,0.00334261838440111,0.0271123491179202,0.138161559888579,0.00984215413184773,0.0031569173630455,0.110677808727948,0.114577530176416,0.00408542246982358,0.00761374187558032,0.00575673166202414,0.010213556174559,0.0204271123491179,1,FALSE,1995
"alicelu01",0,0,0,0,"N",1965,7,29,"P.R.","","Santurce",NA,NA,NA,"","","","Luis","Alicea","Luis Rene",165,69,"B","R","1988-04-23","2002-09-25","alicl001","alicelu01",13,5,1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,45,74,1127,971,26342,2021,2848,142,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2b",0,0,1,0,0,0,0,0,742,0.259632334424578,0.36942835557794,0.345968448729185,0.109796021153362,0.187906939854594,0.138755980861244,0.259632334424578,0.186854696549987,0.0475950642155628,0.0133467640392848,0.0118358096197431,0.106270460841098,0.0203978846638126,0.012591286829514,0.12591286829514,0.157139259632334,0.00629564341475699,0.0120876353563334,0.0123394610929237,0.0113321581465626,0.0186351045076807,0,FALSE,1988
"allenbe01",1,432,324,0,"N",1939,4,16,"USA","OH","East Liverpool",NA,NA,NA,"","","","Bernie","Allen","Bernard Keith",175,72,"L","R","1962-04-10","1973-09-19","alleb105","allenbe01",12,4,1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,17,60,1023,910,24076,2031,2347,100,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2b",0,0,1,0,0,0,0,0,581,0.239424206815511,0.357226792009401,0.314030007896815,0.11780258519389,0.171347157726181,0.104876615746181,0.239424206815511,0.170681551116334,0.0411280846063455,0.00616921269095182,0.0214453584018801,0.103113983548766,0.00381903642773208,0.00470035252643948,0.108695652173913,0.124559341950646,0.0152761457109283,0.00235017626321974,0.00705052878965922,0.00499412455934195,0.0176263219741481,0,FALSE,1962
"allendi01",14,473,353,89,"N",1942,3,8,"USA","PA","Wampum",NA,NA,NA,"","","","Dick","Allen","Richard Anthony",187,71,"R","R","1963-09-03","1977-06-19","alled101","allendi01",15,5,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,1722,1690,43664,7658,1711,245,756,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"1b",0,1,0,0,0,0,0,0,1098,0.291850915982312,0.533638660770689,0.378067169294037,0.241787744788377,0.265827777001537,0.173562855337966,0.291850915982312,0.173404927353127,0.0505369551484523,0.0124763108022742,0.0554327226784586,0.176721415034744,0.0210044219835755,0.0082122552116235,0.141187618445989,0.245735944409349,0.0217940619077701,0.00252684775742262,0.00300063171193936,0.00837018319646241,0.0259001895135818,2,TRUE,1963
"alleyge01",1,432,324,0,"N",1940,7,10,"USA","VA","Richmond",NA,NA,NA,"","","","Gene","Alley","Leonard Eugene",160,70,"R","R","1963-09-04","1973-09-27","alleg101","alleyge01",11,1,1195,3927,442,999,140,44,55,342,63,30,300,622,62,27,56,22,95,1138,1038,28083,1879,3641,166,805,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"ss",0,0,0,0,1,0,0,0,760,0.254392666157372,0.354469060351413,0.310102899906455,0.100076394194041,0.146132178452776,0.112554112554113,0.254392666157372,0.193531958237841,0.035650623885918,0.0112044817927171,0.0140056022408964,0.0870893812070283,0.0160427807486631,0.00763941940412529,0.0763941940412529,0.158390628978864,0.0157881334351923,0.00687547746371276,0.0142602495543672,0.00560224089635854,0.0241914947797301,2,FALSE,1963
"almonbi01",0,0,0,0,"N",1952,11,21,"USA","RI","Providence",NA,NA,NA,"","","","Bill","Almon","William Francis",180,75,"R","R","1974-09-02","1988-06-14","almob001","almonbi01",15,7,1236,3330,390,846,138,25,36,296,128,60,250,636,24,6,44,29,53,1188,845,23401,1834,2265,173,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,647,0.254054054054054,0.342942942942943,0.304840940525588,0.0888888888888889,0.141787691450849,0.117117117117117,0.254054054054054,0.194294294294294,0.0414414414414414,0.00750750750750751,0.0108108108108108,0.0888888888888889,0.0384384384384384,0.018018018018018,0.0750750750750751,0.190990990990991,0.00720720720720721,0.0018018018018018,0.0132132132132132,0.00870870870870871,0.0159159159159159,0,FALSE,1974
