"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA","R.perAB","H.perAB","singles.perAB","doubles.perAB","triples.perAB","HR.perAB","RBI.perAB","SB.perAB","CS.perAB","BB.perAB","SO.perAB","IBB.perAB","HBP.perAB","SH.perAB","SF.perAB","GIDP.perAB","TotalAllStarAwards","debutYear"
"fletcsc01",0,0,0,0,"N",1958,7,30,"USA","FL","Fort Walton Beach",NA,NA,NA,"","","","Scott","Fletcher","Scott Brian",168,71,"R","R",1981-04-25,1995-09-29,"flets001","fletcsc01",15,6,1612,5258,688,1376,243,38,34,510,99,58,514,541,13,57,111,36,109,1653,1432,37962,2614,4305,144,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,1061,0.261696462533283,0.341764929631038,0.331969309462916,0.0800684670977558,0.157682125768968,0.130848231266641,0.261696462533283,0.201787751996957,0.0462152909851655,0.00722708254089007,0.00646633701027006,0.096995055154051,0.0188284518828452,0.0110308101939901,0.097755800684671,0.102890833016356,0.00247242297451502,0.0108406238113351,0.0211106884747052,0.00684670977558007,0.0207303157093952,0,1981
"rojasco01",1,374,281,0,"N",1939,3,6,"Cuba","La Habana","La Habana",NA,NA,NA,"","","","Cookie","Rojas","Octavio Victor",160,70,"R","R",1962-04-10,1977-10-01,"rojac101","rojasco01",16,4,1822,6309,714,1660,254,25,54,593,74,68,396,489,30,20,87,59,181,1739,1542,41247,3466,3965,134,971,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"2b",0,0,1,0,0,0,0,0,1327,0.263116183230306,0.336978919004597,0.306014150943396,0.0738627357742907,0.127554871187444,0.113171659533999,0.263116183230306,0.210334442859407,0.0402599461087336,0.00396259312093834,0.00855920114122682,0.0939927088286575,0.0117292756379775,0.0107782532889523,0.0627674750356633,0.077508321445554,0.00475511174512601,0.00317007449675067,0.0137898240608654,0.00935171976541449,0.0286891741955936,1,1962
"hendrge01",1,456,342,0,"N",1949,10,18,"USA","CA","Los Angeles",NA,NA,NA,"","","","George","Hendrick","George Andrew",195,75,"R","R",1971-06-04,1988-10-02,"hendg001","hendrge01",18,6,2048,7129,941,1980,343,27,267,1111,59,47,567,1013,77,22,21,86,211,1934,1808,48337,4758,207,65,117,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,"rf",0,0,0,0,0,0,0,1,1343,0.277738813297798,0.445784822555758,0.329190158892875,0.16804600925796,0.195909719166559,0.131996072380418,0.277738813297798,0.188385467807547,0.048113339879366,0.00378734745406088,0.0374526581568242,0.155842334128209,0.00827605554776266,0.00659279001262449,0.0795342965352784,0.142095665591247,0.0108009538504699,0.00308598681441997,0.00294571468649179,0.0120634030018235,0.0295974189928461,2,1971
"tartada01",1,496,372,1,"N",1962,10,30,"P.R.","","San Juan",NA,NA,NA,"","","","Danny","Tartabull","Danilo",185,73,"R","R",1984-09-07,1997-04-07,"tartd001","tartada01",14,6,1406,5011,756,1366,289,22,262,925,37,30,768,1362,47,17,2,44,110,977,965,24712,1660,214,63,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rf",0,0,0,0,0,0,0,1,793,0.272600279385352,0.495909000199561,0.368321917808219,0.223308720814209,0.264718694976696,0.150868090201557,0.272600279385352,0.158251845938934,0.0576731191378966,0.00439034124925165,0.0522849730592696,0.184593893434444,0.00738375573737777,0.00598682897625225,0.153262821792057,0.271802035521852,0.00937936539612852,0.00339253641987627,0.00039912193175015,0.00878068249850329,0.0219517062462582,0,1984
"walkech01",0,0,0,0,"N",1958,11,25,"USA","MS","Jackson",NA,NA,NA,"","","","Chico","Walker","Cleotha",170,69,"B","R",1980-09-02,1993-10-03,"walkc001","walkech01",11,4,526,1217,150,299,37,7,17,116,67,19,109,212,7,1,6,15,22,370,234,6820,367,320,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3b",0,0,0,1,0,0,0,0,238,0.245686113393591,0.32949876746097,0.304769001490313,0.0838126540673788,0.139544868913858,0.123253903040263,0.245686113393591,0.195562859490551,0.0304026294165982,0.0057518488085456,0.0139687756778965,0.09531635168447,0.0550534100246508,0.0156121610517666,0.0895645028759244,0.174198849630238,0.0057518488085456,0.000821692686935086,0.00493015612161052,0.0123253903040263,0.0180772391125719,0,1980
"bartobo01",1,385,289,0,"N",1941,7,30,"USA","OH","Norwood",NA,NA,NA,"","","","Bob","Barton","Robert Wilbur",175,72,"R","R",1965-09-17,1974-07-30,"bartb101","bartobo01",10,3,393,1049,54,237,31,3,9,66,3,6,87,168,18,5,6,6,33,380,317,8449,1986,185,28,30,9,106,175,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,194,0.225929456625357,0.286939942802669,0.286835222319093,0.0610104861773117,0.116567936226749,0.0514775977121068,0.225929456625357,0.184938036224976,0.0295519542421354,0.00285986653956149,0.00857959961868446,0.0629170638703527,0.00285986653956149,0.00571973307912297,0.0829361296472831,0.160152526215443,0.0171591992373689,0.00476644423260248,0.00571973307912297,0.00571973307912297,0.0314585319351764,0,1965
"lawtoma02",0,0,0,0,"N",1971,11,30,"USA","MS","Gulfport",NA,NA,NA,"","","","Matt","Lawton","Matthew",180,70,"L","R",1995-09-05,2006-05-16,"lawtm002","lawtoma02",12,7,1334,4763,756,1273,267,17,138,631,165,66,681,613,34,94,2,30,113,1244,1191,31385,2597,59,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"rf",0,0,0,0,0,0,0,1,851,0.267268528238505,0.417384001679614,0.367816091954023,0.150115473441109,0.225268124322371,0.158723493596473,0.267268528238505,0.178668906151585,0.056057106865421,0.00356917908880957,0.0289733361326895,0.132479529708167,0.0346420323325635,0.0138568129330254,0.142977115263489,0.128700398908251,0.00713835817761915,0.0197354608440059,0.000419903422212891,0.00629855133319337,0.0237245433550283,0,1995
"tenacge01",1,447,336,1,"N",1946,10,10,"USA","PA","Russellton",NA,NA,NA,"","","","Gene","Tenace","Fury Gene",190,72,"R","R",1969-05-29,1983-09-30,"tenag101","tenacge01",15,4,1555,4390,653,1060,179,20,201,674,36,42,984,998,58,91,21,39,77,1551,1297,34146,8731,743,103,489,73,195,515,290,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"c",1,0,0,0,0,0,0,0,660,0.241457858769932,0.42870159453303,0.387899709302326,0.187243735763098,0.265402130003672,0.14874715261959,0.241457858769932,0.150341685649203,0.0407744874715262,0.00455580865603645,0.0457858769931663,0.153530751708428,0.0082004555808656,0.00956719817767654,0.224145785876993,0.227334851936219,0.0132118451025057,0.0207289293849658,0.00478359908883827,0.00888382687927107,0.0175398633257403,0,1969
"lopezfe01",0,0,0,0,"N",1980,5,12,"P.R.","","Bayamon",NA,NA,NA,"","","","Felipe","Lopez","Felipe",205,72,"B","R",2001-08-03,2011-08-20,"lopef001","lopezfe01",11,8,1185,4337,600,1145,219,31,90,439,124,58,445,913,15,18,35,29,66,1172,1060,28366,1524,2774,162,548,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"ss",0,0,0,0,1,0,0,0,805,0.264007378372147,0.391053723772193,0.332988196313937,0.127046345400046,0.18668778562526,0.138344477749596,0.264007378372147,0.185612174314042,0.0504957343786027,0.00714779801706249,0.0207516716624395,0.101222042886788,0.0285911920682499,0.0133732995157943,0.102605487664284,0.210514180308969,0.00345861194373991,0.0041503343324879,0.00807009453539313,0.00668664975789716,0.0152178925524556,1,2001
"jacksre01",1,423,318,396,"Y",1946,5,18,"USA","PA","Abington",NA,NA,NA,"","","","Reggie","Jackson","Reginald Martinez",195,72,"L","L",1967-06-09,1987-10-04,"jackr001","jacksre01",21,5,2820,9864,1551,2584,463,49,563,1702,228,115,1375,2597,164,96,13,68,183,2102,2057,53267,4062,133,142,31,0,0,0,0,0,0,0,1,5,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,"rf",0,0,0,0,0,0,0,1,1509,0.261962692619627,0.490064882400649,0.355608173287731,0.228102189781022,0.257088815730937,0.157238442822384,0.261962692619627,0.152980535279805,0.0469383617193836,0.00496755879967559,0.0570762368207624,0.172546634225466,0.0231143552311436,0.0116585563665856,0.139395782643958,0.263280616382806,0.0166261151662612,0.0097323600973236,0.00131792376317924,0.00689375506893755,0.0185523114355231,5,1967
